,names,year,desc,genre
0,Avatar: The Way of Water,2022,"avatar: the way of waterset more than a decade after the events of the first film, learn the story of the sully family (jake, neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.science fiction, adventure, actionsam worthington, jake sully, zoe saldaña, neytiri, sigourney weaver, kiri / dr. grace augustine, stephen lang, colonel miles quaritch, kate winslet, ronal, cliff curtis, tonowari, joel david moore, norm spellman, cch pounder, mo'at, edie falco, general frances ardmore","Science Fiction, Adventure, Action"
1,Puss in Boots: The Last Wish,2022,"puss in boots: the last wishpuss in boots discovers that his passion for adventure has taken its toll: he has burned through eight of his nine lives, leaving him with only one life left. puss sets out on an epic journey to find the mythical last wish and restore his nine lives.animation, family, fantasy, adventure, comedyantonio banderas, puss in boots (voice), salma hayek, kitty softpaws (voice), harvey guillén, perrito (voice), wagner moura, wolf (voice), florence pugh, goldilocks (voice), olivia colman, mama bear (voice), ray winstone, papa bear (voice), samson kayo, baby bear (voice), john mulaney, jack horner (voice)","Animation, Family, Fantasy, Adventure, Comedy"
2,Attack on Titan,2022,"attack on titanas viable water is depleted on earth, a mission is sent to saturn's moon titan to retrieve sustainable h2o reserves from its alien inhabitants. but just as the humans acquire the precious resource, they are attacked by titan rebels, who don't trust that the earthlings will leave in peace.action, science fictionpaul bianchi, computer (voice), erin coker, allison quince, jack pearson, max reece, anthony jensen, jowers, neli sabour, heidi quince, karan sagoo, adrian naidu, natalie storrs, saoirse parker, justin tanks, mark morales, jenny tran, kim costa","Action, Science Fiction"
3,The Exorcist,2022,"the exorcistophelia, a young nun recently arriving in the town of san ramon, is forced to perform an exorcism on a pregnant woman in danger of dying. just when she thinks her possession has ended, she discovers that the evil presence hasn't disappeared yet. the director of the award-winning here comes the devil and late phases adds a new twist to possession movies in one of this year's latin american horror surprises.horrormaría evoli, ofelia, diana bracho, , tina romero, julia, norma lazareno, señora ramirez, pilar santacruz, sandra, salvador sánchez, señor ramirez, julio bracho, padre victor, ramón medína, fabian",Horror
4,Black Panther: Wakanda Forever,2022,"black panther: wakanda foreverqueen ramonda, shuri, m’baku, okoye and the dora milaje fight to protect their nation from intervening world powers in the wake of king t’challa’s death. as the wakandans strive to embrace their next chapter, the heroes must band together with the help of war dog nakia and everett ross and forge a new path for the kingdom of wakanda.action, adventure, science fictionletitia wright, shuri / black panther, lupita nyong'o, nakia, danai gurira, okoye, winston duke, m'baku, dominique thorne, riri williams / ironheart, tenoch huerta mejía, namor, angela bassett, ramonda, florence kasumba, ayo, michaela coel, aneka","Action, Adventure, Science Fiction"
5,Prizefighter: The Life of Jem Belcher,2022,"prizefighter: the life of jem belcherat the turn of the 19th century, pugilism was the sport of kings and a gifted young boxer fought his way to becoming champion of england.drama, historymatt hookings, jem belcher, ray winstone, bill warr, jodhi may, mary belcher, marton csokas, lord rushworth, russell crowe, jack slack, steven berkoff, walter, julian glover, lord ashford","Drama, History"
6,Gold Run,2022,"gold runfredrik isn’t the bravest of men, but now he is faced with a great responsibility and an enormous task - to get the entire norwegian gold reserve away from the nazis during the invasion of norway.war, action, adventure, thrillerjon øigarden, fredrik haslund, ida elise broch, nini haslund gleditsch, sven nordin, odd henry, eivind sander, major bjørn sunde, axel bøyum, ingvar, morten svartveit, nordahl grieg, anatole taubman, major otto stoltmann, thorbjørn harr, oscar torp, gard b. eidsvold, andreas lund","War, Action, Adventure, Thriller"
7,Shark Side of the Moon,2022,"shark side of the moondecades ago, the ussr developed unkillable sharks and launched them to the moon. today, a team of american astronauts will endure the fight of their lives.action, science fiction, thriller, horrormaxi witrak, commander nicole tress, ego mikitas, sergei, michael marcel, michael kelly, tania fox, akula, konstantin podprugin, henri, lindsey marie wilson, elli waters, lydia hunter, josie, reginald stalling iii, tom, terrance livingston jr., liam","Action, Science Fiction, Thriller, Horror"
8,Black Adam,2022,"black adamnearly 5,000 years after he was bestowed with the almighty powers of the egyptian gods—and imprisoned just as quickly—black adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.action, adventure, science fiction, fantasydwayne johnson, black adam / teth adam, aldis hodge, hawkman / carter hall, noah centineo, atom smasher / al rothstein, sarah shahi, adrianna tomaz, quintessa swindell, cyclone / maxine hunkel, marwan kenzari, ishmael / sabbac / king ahk-ton, mo amer, karim, bodhi sabongui, amon tomaz, pierce brosnan, dr. fate / kent nelson","Action, Adventure, Science Fiction, Fantasy"
9,13 Exorcisms,2022,"13 exorcismsafter participating in a séance, young laura begins to behave strangely. alarmed, her parents ask father olmedo, one of the few exorcists authorized by the vatican to intervene in cases of demonic possession, for help.drama, horrormaría romanillos, laura, ruth díaz, carmen, urko olazábal, tomás, pablo revuelta, jesús, josé sacristán, padre olmedo, daniela bini, niña demonio, cristina castaño, asunción, silma lópez, lola, daniel arias, enrique","Drama, Horror"
10,H.P. Lovecraft's Witch House,2022,"h.p. lovecraft's witch housedetermined to prove the possibility of alternate dimensions, a graduate student unknowingly unlocks a gateway to unimaginable horror. based on the h.p. lovecraft's short story the dreams in the witch house.horrorportia chellelynn, alice, julie anne prescott, tommi, andrea collins, keziah mason, erin trimble, kelly, solon tsangaras, brown jenkin, john johnson, professor sherfick, shonda laverty, , bill levin, vespuli, joe padgett, joe",Horror
11,John Wick: Chapter 2,2017,"john wick: chapter 2john wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. bound by a blood oath to aid him, wick travels to rome and does battle against some of the world’s most dangerous killers.action, thriller, crimekeanu reeves, john wick, common, cassian, ian mcshane, winston, laurence fishburne, bowery king, riccardo scamarcio, santino d'antonio, ruby rose, ares, lance reddick, charon, peter stormare, abram tarasov, bridget moynahan, helen wick","Action, Thriller, Crime"
12,Sick,2022,"sickin the midst of the pandemic, college student parker and her best friend miri decide to self-quarantine at her family's lake house, where they will be alone — or so they think.horror, thrillergideon adlon, parker, bethlehem million, miri, dylan sprayberry, dj, marc menchaca, jason, jane adams, pamela, joel courtney, tyler, chris reid, jeb, duane stephens, mr. lyons, logan murphy, benji","Horror, Thriller"
13,John Wick: Chapter 3 - Parabellum,2019,"john wick: chapter 3 - parabellumsuper-assassin john wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. after killing a member of the shadowy international assassin’s guild, the high table, john wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.action, thriller, crimekeanu reeves, john wick, halle berry, sofia, ian mcshane, winston, laurence fishburne, bowery king, mark dacascos, zero, asia kate dillon, adjudicator, lance reddick, charon, anjelica huston, director, tobias segal, earl","Action, Thriller, Crime"
14,Fall,2022,"fallfor best friends becky and hunter, life is all about conquering fears and pushing limits. but after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. now becky and hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heightsthriller, dramagrace caroline currey, becky, virginia gardner, hunter, jeffrey dean morgan, james, mason gooding, dan connor, jasper cole, dog walker dan, darrell dennis, randy, julia pace mitchell, waitress","Thriller, Drama"
15,Lord of the Streets,2022,"lord of the streetswhen jason dyson refuses to make his prized fighter throw an mma match, a notorious gangster collects his debt by killing the fighter and kidnapping jason's daughter. now he must train a prisoner to endure five consecutive underground fights to save her.actiontreach, jason dyson, quinton jackson, kane, khalil rountree jr., damon stone, anderson silva, axel, richard grieco, detective kayes, a.j. mckee, tre jordan, gigi gustin, sasha, meredith thomas, teresa, ashley doris, valery dyson",Action
16,Prey for the Devil,2022,"prey for the devilin response to a global rise in demonic possessions, the catholic church reopens exorcism schools to train priests in the rite of exorcism. on this spiritual battlefield, an unlikely warrior rises: a young nun, sister ann. thrust onto the spiritual frontline with fellow student father dante, sister ann finds herself in a battle for the soul of a young girl and soon realizes the devil has her right where he wants her.horror, thrillerjacqueline byers, sister ann, colin salmon, father quinn, christian navarro, father dante, lisa palfrey, sister euphemia, nicholas ralph, father raymond, ben cross, cardinal matthews, virginia madsen, dr. peters, tom forbes, matt, velizar binev, father bernhard","Horror, Thriller"
17,Bandit,2022,"banditafter escaping a michigan prison, a charming career criminal assumes a new identity in canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. based on the story of the flying bandit.crime, drama, thrillerjosh duhamel, gilbert galvan jr/robert whiteman, elisha cuthbert, andrea, mel gibson, tommy, nestor carbonell, snydes, lorenzo yearby, ben, swen temmel, hoffman, keith arthur bolden, diamond dave, dylan flashner, bishop, olivia d'abo, linda","Crime, Drama, Thriller"
18,Roald Dahl's Matilda the Musical,2022,"roald dahl's matilda the musicalan extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. standing up for what's right, she's met with miraculous results.family, comedy, fantasyalisha weir, matilda wormwood, emma thompson, agatha trunchbull, lashana lynch, miss honey, stephen graham, mr. wormwood, andrea riseborough, mrs. wormwood, sindhu vee, mrs. phelps, charlie hodson-prior, bruce bogtrotter, meesha garbett, hortensia, rei yamauchi fulker, lavender","Family, Comedy, Fantasy"
19,The Simpsons Meet the Bocellis in Feliz Navidad,2022,"the simpsons meet the bocellis in feliz navidadthis christmas, homer surprises marge with the ultimate gift: an unforgettable performance from italian opera superstar andrea bocelli and his children matteo and virginia.animation, family, comedynancy cartwright, bart simpson (voice), yeardley smith, lisa simpson (voice), dan castellaneta, homer simpson (voice), julie kavner, marge simpson (voice), andrea bocelli, self (voice), matteo bocelli, self (voice), virginia bocelli, self (voice)","Animation, Family, Comedy"
20,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2021,"demon slayer -kimetsu no yaiba- the movie: mugen traintanjiro kamado, joined with inosuke hashibira, a boy raised by boars who wears a boar's head, and zenitsu agatsuma, a scared boy who reveals his true power when he sleeps, boards the infinity train on a new mission with the fire hashira, kyojuro rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!animation, action, adventure, fantasy, thrillernatsuki hanae, tanjiro kamado (voice), akari kito, nezuko kamado (voice), hiro shimono, zenitsu agatsuma (voice), yoshitsugu matsuoka, inosuke hashibira (voice), satoshi hino, kyojuro rengoku (voice), takahiro sakurai, giyū tomioka (voice), katsuyuki konishi, tengen uzui (voice), saori hayami, shinobu kocho (voice), kenichi suzumura, obanai iguro (voice)","Animation, Action, Adventure, Fantasy, Thriller"
21,The Last Heretic,2022,"the last hereticjuan conte is a world-renowned spokesman of the new atheism. after suffering a heart attack, he receives a transplant and a change in his personal life begins, opening up to the possibility of being in a couple for the first time. juan will go on a journey of horror and pain, in which his vision of reality will be put to the test.thriller, horrorgermán palacios, juan conte, victoria almeida, maría, gloria carrá, , césar bordón, tomás rubio, germán de silva, , miguel jordán, , héctor calori, , maría inés banegas, , daniel miglioranza, doctor","Thriller, Horror"
